timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1581803551065,462,getProductByCategory,200,,Scenario 1 1-2,text,true,,16364,200,6,6,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/shhjyvk?pageNum=0&pageSize=50,434,0,103
1581803551130,401,getProductByCategory,200,,Scenario 1 1-3,text,true,,16259,200,6,6,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/mgegkeu?pageNum=0&pageSize=50,369,0,43
1581803551237,309,getProductByCategory,200,,Scenario 1 1-4,text,true,,16208,199,6,6,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/dshtqh?pageNum=0&pageSize=50,265,0,37
1581803551065,502,getProductByCategory,200,,Scenario 1 1-1,text,true,,16061,200,7,7,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/smvejvm?pageNum=0&pageSize=50,466,0,107
1581803551345,255,getProductByCategory,200,,Scenario 1 1-5,text,true,,16391,199,7,7,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/toiooz?pageNum=0&pageSize=50,221,0,39
1581803551451,213,getProductByCategory,200,,Scenario 1 1-6,text,true,,16255,198,7,7,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/gjmit?pageNum=0&pageSize=50,173,0,41
1581803551543,719,getProductByCategory,200,,Scenario 1 1-2,text,true,,16232,199,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/oawtxu?pageNum=0&pageSize=50,679,0,39
1581803551543,775,getProductByCategory,200,,Scenario 1 1-3,text,true,,16383,197,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/esxh?pageNum=0&pageSize=50,738,0,39
1581803551558,1043,getProductByCategory,200,,Scenario 1 1-7,text,true,,16572,199,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/lnnlnb?pageNum=0&pageSize=50,990,0,40
1581803551666,935,getProductByCategory,200,,Scenario 1 1-6,text,true,,16198,194,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/d?pageNum=0&pageSize=50,891,0,45
1581803551549,1052,getProductByCategory,200,,Scenario 1 1-4,text,true,,16590,200,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/shtmpek?pageNum=0&pageSize=50,997,0,38
1581803551569,1035,getProductByCategory,200,,Scenario 1 1-1,text,true,,16390,200,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/cfnslyl?pageNum=0&pageSize=50,988,0,39
1581803551602,1002,getProductByCategory,200,,Scenario 1 1-5,text,true,,16074,195,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/rd?pageNum=0&pageSize=50,949,0,39
1581803551778,830,getProductByCategory,200,,Scenario 1 1-9,text,true,,16137,196,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/ktq?pageNum=0&pageSize=50,787,0,38
1581803551669,942,getProductByCategory,200,,Scenario 1 1-8,text,true,,16248,200,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/wmtujhq?pageNum=0&pageSize=50,899,0,42
1581803552264,420,getProductByCategory,200,,Scenario 1 1-2,text,true,,16299,201,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/ywisqhjc?pageNum=0&pageSize=50,387,0,38
1581803552610,807,getProductByCategory,200,,Scenario 1 1-9,text,true,,16259,200,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/mgegkeu?pageNum=0&pageSize=50,774,0,40
1581803552320,1109,getProductByCategory,200,,Scenario 1 1-3,text,true,,16561,199,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/knfotu?pageNum=0&pageSize=50,1070,0,225
1581803552685,754,getProductByCategory,200,,Scenario 1 1-2,text,true,,16391,199,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/toiooz?pageNum=0&pageSize=50,714,0,42
1581803552607,832,getProductByCategory,200,,Scenario 1 1-1,text,true,,16061,200,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/smvejvm?pageNum=0&pageSize=50,787,0,43
1581803552607,832,getProductByCategory,200,,Scenario 1 1-5,text,true,,16364,200,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/shhjyvk?pageNum=0&pageSize=50,794,0,43
1581803552603,839,getProductByCategory,200,,Scenario 1 1-6,text,true,,16055,195,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/wx?pageNum=0&pageSize=50,793,0,37
1581803552612,830,getProductByCategory,200,,Scenario 1 1-8,text,true,,16208,199,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/dshtqh?pageNum=0&pageSize=50,778,0,39
1581803552603,850,getProductByCategory,200,,Scenario 1 1-7,text,true,,16110,195,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/xj?pageNum=0&pageSize=50,805,0,37
1581803552603,850,getProductByCategory,200,,Scenario 1 1-4,text,true,,16637,200,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/vnwfxlt?pageNum=0&pageSize=50,803,0,42
1581803553419,570,getProductByCategory,200,,Scenario 1 1-9,text,true,,16255,198,9,9,http://ec2-3-17-24-191.us-east-2.compute.amazonaws.com:8083/v1/api/categories/gjmit?pageNum=0&pageSize=50,528,0,38
