timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586654368398,5764,reserve-order,200,,Scenario 1 1-3,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,5764,0,42
1586654368376,7158,reserve-order,200,,Scenario 1 1-1,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,7158,0,65
1586654368589,11091,reserve-order,200,,Scenario 1 1-5,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,11091,0,1
1586654368785,11935,reserve-order,200,,Scenario 1 1-7,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,11935,0,0
1586654368978,13408,reserve-order,200,,Scenario 1 1-9,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,13408,0,1
1586654375537,9254,reserve-order,200,,Scenario 1 1-1,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,9254,0,1
1586654368879,17388,reserve-order,200,,Scenario 1 1-8,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,17388,0,1
1586654382388,5795,reserve-order,200,,Scenario 1 1-9,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,5795,0,1
1586654380721,9632,reserve-order,200,,Scenario 1 1-7,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,9632,0,1
1586654384792,7799,reserve-order,200,,Scenario 1 1-1,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,7799,0,0
1586654386268,8901,reserve-order,200,,Scenario 1 1-8,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,8901,0,2
1586654388184,8019,reserve-order,200,,Scenario 1 1-9,,true,,282,2357,10,10,http://localhost:8082/profiles/801/orders,8019,0,1
1586654368376,30094,reserve-order,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Scenario 1 1-2,text,false,,2620,0,10,10,http://localhost:8082/profiles/801/orders,0,0,65
1586654368493,30034,reserve-order,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Scenario 1 1-4,text,false,,2620,0,9,9,http://localhost:8082/profiles/801/orders,0,0,4
1586654368687,30032,reserve-order,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Scenario 1 1-6,text,false,,2620,0,8,8,http://localhost:8082/profiles/801/orders,0,0,1
1586654369080,30036,reserve-order,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Scenario 1 1-10,text,false,,2620,0,7,7,http://localhost:8082/profiles/801/orders,0,0,4
1586654392592,7815,reserve-order,200,,Scenario 1 1-1,,true,,282,2357,6,6,http://localhost:8082/profiles/801/orders,7815,0,1
1586654390354,11114,reserve-order,200,,Scenario 1 1-7,,true,,282,2357,5,5,http://localhost:8082/profiles/801/orders,11114,0,1
1586654396205,7369,reserve-order,200,,Scenario 1 1-9,,true,,282,2357,4,4,http://localhost:8082/profiles/801/orders,7369,0,1
1586654374197,30034,reserve-order,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Scenario 1 1-3,text,false,,2620,0,3,3,http://localhost:8082/profiles/801/orders,0,0,6
1586654395171,13502,reserve-order,200,,Scenario 1 1-8,,true,,282,2357,2,2,http://localhost:8082/profiles/801/orders,13502,0,2
1586654379681,30030,reserve-order,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Scenario 1 1-5,text,false,,2620,0,1,1,http://localhost:8082/profiles/801/orders,0,0,1
